epoch,accuracy,loss,val_accuracy,val_loss
0,0.3121693,1.2344635743943473,0.33333334,1.2185378670692444
1,0.33333334,1.2159958402946514,0.33333334,1.218301812807719
2,0.33333334,1.209045357489712,0.33333334,1.2181122501691182
3,0.34920636,1.196071652192918,0.33333334,1.2179092566172283
4,0.34920636,1.1902579680952445,0.31666666,1.233582576115926
5,0.34920636,1.2019087341096666,0.3,1.2346845865249634
6,0.37566137,1.1626514221625353,0.26666668,1.2473034063975017
7,0.36507937,1.1775876075502425,0.33333334,1.2219520211219788
8,0.3968254,1.1396082494624709,0.33333334,1.223377525806427
9,0.3915344,1.1385294060227733,0.26666668,1.2401575843493144
10,0.4074074,1.1373019098604797,0.31666666,1.2215538620948792
11,0.42328042,1.1124238261470087,0.26666668,1.253270963827769
12,0.3968254,1.1372516243546098,0.25,1.2580628792444866
13,0.4021164,1.1266670239665522,0.3,1.2276977896690369
14,0.41798943,1.114204621188855,0.3,1.228316108385722
15,0.46031746,1.0796383259788391,0.33333334,1.2116985321044922
16,0.5132275,1.0451816465488817,0.28333333,1.2404590447743733
17,0.5185185,1.0350691811748283,0.31666666,1.2269914249579112
18,0.5185185,1.0309993886443043,0.28333333,1.2373514076073964
19,0.47089946,1.074657708879501,0.31666666,1.2161693672339122
20,0.5026455,1.028825598419028,0.28333333,1.227680464585622
21,0.44444445,1.0850345470287182,0.3,1.2298558453718822
22,0.47619048,1.058396162810149,0.3,1.2240244845549266
23,0.55026454,0.9946225957264976,0.33333334,1.2110498150189717
24,0.56613755,0.9784055503587874,0.31666666,1.2036353548367817
25,0.48677248,1.053256839040726,0.33333334,1.2073172628879547
26,0.52910054,1.024044364848465,0.35,1.1834920048713684
27,0.55026454,0.983968785515538,0.3,1.1991699735323589
28,0.52910054,1.0279971701758248,0.33333334,1.1999463836352031
29,0.4973545,1.047533117274128,0.35,1.2014868557453156
30,0.50793654,1.0333987247376215,0.33333334,1.1822917461395264
31,0.52380955,1.0211623131282745,0.31666666,1.2005230685075123
32,0.58201057,0.9649091990536482,0.33333334,1.192462166150411
33,0.53968257,1.0051999848986428,0.3,1.208765317996343
34,0.55026454,0.9910932419792055,0.35,1.1747766335805256
35,0.54497355,0.9912293897104011,0.4,1.155161629120509
36,0.6137566,0.9253669652358565,0.35,1.1734077632427216
37,0.5925926,0.9493028676068341,0.33333334,1.1870312293370564
38,0.5978836,0.9494582729995567,0.36666667,1.180493950843811
39,0.55026454,0.9853207614056017,0.38333333,1.150551567475001
40,0.53968257,1.0057048450702082,0.33333334,1.2020037372907002
41,0.53968257,0.9957322292226963,0.35,1.170769214630127
42,0.6031746,0.9432481927846474,0.36666667,1.157056192557017
43,0.56613755,0.9815200365409649,0.35,1.1899062593777974
44,0.63492066,0.9041952415118142,0.36666667,1.1685017943382263
45,0.6084656,0.9330535672959828,0.4,1.1608561078707378
46,0.6137566,0.9240202127941071,0.36666667,1.1648291846116383
47,0.66137564,0.885045919468794,0.36666667,1.181399534145991
48,0.5555556,0.9851209231154628,0.36666667,1.1605124473571777
49,0.6719577,0.8688284811519441,0.36666667,1.165505627791087
